cod_municipio,nombre_municipio,subregion
47001,Santa Marta,Santa Marta
47030,Algarrobo,Norte
47053,Aracataca,Norte
47058,Ariguani,Centro
47161,Cerro San Antonio,Rio
47170,Chivolo,Centro
47189,Cienaga,Norte
47205,Concordia,Rio
47245,El Banco,Sur
47258,El Pinon,Rio
47268,El Reten,Norte
47288,Fundacion,Norte
47318,Guamal,Sur
47460,Nueva Granada,Centro
47541,Pedraza,Rio
47545,Pijino del Carmen,Sur
47551,Pivijay,Rio
47555,Plato,Centro
47570,Puebloviejo,Norte
47605,Remolino,Rio
47660,Sabanas de San Angel,Centro
47675,Salamina,Rio
47692,San Sebastian de Buenavista,Sur
47703,San Zenon,Sur
47707,Santa Ana,Sur
47720,Santa Barbara de Pinto,Sur
47745,Sitionuevo,Rio
47798,Tenerife,Centro
47960,Zapayan,Rio
47980,Zona Bananera,Norte
